date,dS (m3)
2022-05-07,-17204348.663299102
2022-05-12,-6042765.881466
2022-05-17,-553502.0907596
2022-05-20,69811262.20492211
2022-05-22,-70365542.8339163
2022-05-27,-552375.5773918
2022-05-28,2103993.6195775
2022-06-01,-2655805.9402854
2022-06-05,116958317.4438721
2022-06-06,1190393.3243158
2022-06-11,-103314276.6175376
2022-06-13,-1664617.5729032
2022-06-16,117333576.4866906
2022-06-21,-3827219.101948
2022-06-26,-90933201.0771545
2022-06-29,1111270.114855
2022-07-01,28411.126336435347
2022-07-06,1141951.8533658
2022-07-07,122881.25242680001
2022-07-11,491787.3486742
2022-07-15,492207.09102259995
2022-07-16,123117.3574979
2022-07-21,520016.68423729995
2022-07-23,208137.5719243
2022-07-26,312346.60598730005
2022-07-31,1476710.1122978
2022-08-05,11809886.310203899
2022-08-08,30040443.4859529
2022-08-10,19897134.8077836
2022-08-15,48770944.1628461
2022-08-16,9587174.441320999
2022-08-20,16011180.4623814
2022-08-24,15832145.313657599
2022-08-25,3746732.8055804
2022-08-30,87870240.460347
2022-09-01,7026397.7300553005
2022-09-04,-2276122.8040636
2022-09-09,3907365.7945099
2022-09-14,3126039.1012717
2022-09-17,9464744.4552294
2022-09-19,15532272.1161262
2022-09-24,5237481.8476371
2022-09-25,-30865615.178911
2022-09-29,12080811.8791773
2022-10-03,-2161653.2543803
2022-10-04,-16436106.2084552
2022-10-09,-18393419.2859341
2022-10-11,27420794.0322586
2022-10-14,-5626504.1737373
2022-10-19,5174854.3175133
2022-10-24,39447688.7297408
2022-10-27,-36476832.1606473
2022-10-29,34319730.944269694
2022-11-03,-2150277.1910894
2022-11-04,-520524.5863742
2022-11-08,-1623121.1125151
2022-11-12,-27496781.946575798
2022-11-13,25359656.1285429
2022-11-18,-2130382.7144875
2022-11-20,-233130.1675941
2022-11-23,-23874.13606629013
2022-11-28,-20433787.8159628
2022-12-03,21677671.9649352
2022-12-06,2057734.6593827002
2022-12-08,-553662.0183053
2022-12-13,6223142.9700447
2022-12-14,-26888409.6855065
2022-12-18,33018604.321962
2022-12-22,-6488841.0570022
2022-12-23,12473364.248832298
2022-12-28,-2811510.7845011996
2022-12-30,-33687332.5791879
2023-01-02,30884121.9672018
2023-01-07,-2788326.9406422
2023-01-12,-2929479.7619936997
2023-01-15,-23953380.122989703
2023-01-17,19136278.079213202
2023-01-22,-4783782.723213
2023-01-23,-995829.8167544999
2023-01-27,5481822.8983426
2023-01-31,-17626789.2627973
2023-02-01,22142095.2013998
2023-02-06,-7291569.2554688
2023-02-08,-8600210.080902899
2023-02-11,-10718172.0835289
2023-02-16,-77968043.6338536
2023-02-21,36570971.0636021
2023-02-24,-6766385.3929867
2023-02-26,-100226124.6026413
2023-03-03,55497264.1353584
2023-03-04,-1373321.9816649
2023-03-08,-12706825.3818066
2023-03-12,-5361742.1186097
2023-03-13,-11751733.3007064
2023-03-18,-17350728.4939213
2023-03-20,-17447472.2275015
2023-03-23,-128807734.5591242
2023-03-28,-25089880.535003
2023-04-02,49480879.4593049
2023-04-05,4388959.142555701
2023-04-07,7601209.9868552005
2023-04-12,12072973.8174974
2023-04-13,-7822977.1544229
2023-04-17,-59998484.3475497
2023-04-21,-19161928.3496518
2023-04-22,-46559412.0675006
2023-04-27,-17710404.7518151
2023-04-29,-2042431.3838213999
2023-05-02,-13840452.816737501
2023-05-07,0.0
2023-05-12,0.0
2023-05-15,-3255486.5972195
